epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,710.152,1.17996,0.84038,1.20205,0.89241,0.74876,0.83718,0.56497,1.34934,0.93397,1.28112,0.0080002,0.0080002,0.0080002
103,842.874,1.20016,0.84482,1.21593,0.886,0.74463,0.8342,0.5654,1.34572,0.93141,1.2766,0.0079804,0.0079804,0.0079804
104,976,1.19393,0.84372,1.21502,0.87349,0.75001,0.83914,0.56576,1.34503,0.93018,1.2771,0.0079606,0.0079606,0.0079606
105,1109.6,1.19059,0.8422,1.20476,0.87244,0.75202,0.83912,0.5653,1.34493,0.92223,1.27699,0.0079408,0.0079408,0.0079408
106,1241.83,1.18608,0.82488,1.20675,0.88472,0.75013,0.84133,0.56728,1.34435,0.92399,1.27588,0.007921,0.007921,0.007921
107,1372.73,1.17578,0.8403,1.19809,0.88244,0.74779,0.83684,0.56665,1.34258,0.92324,1.27541,0.0079012,0.0079012,0.0079012
108,1505.49,1.1795,0.83597,1.20588,0.88498,0.74948,0.83865,0.56644,1.34268,0.92214,1.27558,0.0078814,0.0078814,0.0078814
109,1637.27,1.18282,0.83403,1.20501,0.89031,0.74358,0.83667,0.56513,1.34374,0.92234,1.27651,0.0078616,0.0078616,0.0078616
110,1774.27,1.18364,0.83542,1.19909,0.88736,0.74422,0.83798,0.56537,1.34289,0.92368,1.27774,0.0078418,0.0078418,0.0078418
111,1909.54,1.17957,0.82735,1.19906,0.88524,0.74676,0.8353,0.56654,1.34379,0.92354,1.27901,0.007822,0.007822,0.007822
112,2038.94,1.18059,0.82154,1.19361,0.8823,0.75025,0.83578,0.56596,1.34336,0.92195,1.2788,0.0078022,0.0078022,0.0078022
113,2166.62,1.172,0.81518,1.19286,0.86449,0.75658,0.83639,0.56561,1.3448,0.92485,1.27948,0.0077824,0.0077824,0.0077824
114,2300.26,1.17933,0.82347,1.19684,0.8479,0.76905,0.83651,0.56559,1.34324,0.92305,1.27835,0.0077626,0.0077626,0.0077626
115,2433.22,1.16746,0.80535,1.18835,0.8738,0.74678,0.83465,0.56774,1.34435,0.92202,1.2786,0.0077428,0.0077428,0.0077428
116,2560.73,1.1677,0.81137,1.18445,0.88465,0.74622,0.83526,0.56541,1.34348,0.91964,1.27846,0.007723,0.007723,0.007723
117,2687.68,1.16857,0.80548,1.18976,0.87091,0.7559,0.8357,0.56487,1.34221,0.92018,1.27595,0.0077032,0.0077032,0.0077032
118,2818.11,1.17587,0.81273,1.1935,0.87459,0.75911,0.83708,0.56321,1.34261,0.9181,1.27619,0.0076834,0.0076834,0.0076834
119,2943.68,1.16693,0.80771,1.18925,0.87399,0.76069,0.83752,0.56393,1.34274,0.91843,1.27601,0.0076636,0.0076636,0.0076636
120,3070.84,1.15706,0.8025,1.18242,0.86556,0.76489,0.83723,0.56486,1.34332,0.91977,1.27621,0.0076438,0.0076438,0.0076438
121,3197.13,1.15696,0.80178,1.18162,0.87019,0.76756,0.83803,0.56622,1.34336,0.91891,1.27595,0.007624,0.007624,0.007624
122,3327.07,1.16035,0.80435,1.1804,0.86405,0.7712,0.83785,0.56559,1.3435,0.91874,1.27484,0.0076042,0.0076042,0.0076042
123,3453.96,1.16606,0.79812,1.18672,0.87575,0.76717,0.83792,0.56482,1.34256,0.9181,1.27351,0.0075844,0.0075844,0.0075844
124,3585.45,1.16267,0.79595,1.183,0.87417,0.76488,0.83749,0.567,1.34124,0.91961,1.27136,0.0075646,0.0075646,0.0075646
125,3713.25,1.15898,0.79487,1.18062,0.87414,0.76727,0.84075,0.5661,1.34026,0.91987,1.2701,0.0075448,0.0075448,0.0075448
126,3840.16,1.17354,0.81002,1.18895,0.8731,0.76457,0.83911,0.56612,1.34053,0.9209,1.27005,0.007525,0.007525,0.007525
127,3973.17,1.14782,0.78452,1.17492,0.87679,0.76359,0.83857,0.56682,1.33989,0.92083,1.26904,0.0075052,0.0075052,0.0075052
128,4106.53,1.16308,0.79304,1.17929,0.87352,0.76572,0.84025,0.56732,1.33947,0.92107,1.26872,0.0074854,0.0074854,0.0074854
129,4240.34,1.1576,0.78829,1.17775,0.88267,0.7545,0.8395,0.56762,1.33958,0.92166,1.26782,0.0074656,0.0074656,0.0074656
130,4366.29,1.1551,0.78516,1.17832,0.88128,0.75666,0.84008,0.5683,1.34096,0.92183,1.26845,0.0074458,0.0074458,0.0074458
131,4493.07,1.14846,0.7883,1.17593,0.88226,0.761,0.84107,0.56927,1.34164,0.9235,1.2693,0.007426,0.007426,0.007426
132,4626.79,1.14973,0.78434,1.17279,0.88266,0.76011,0.84008,0.56754,1.34275,0.92243,1.26995,0.0074062,0.0074062,0.0074062
133,4753.79,1.15541,0.79544,1.1807,0.88444,0.76175,0.84188,0.56821,1.34271,0.92136,1.26991,0.0073864,0.0073864,0.0073864
134,4879.65,1.14478,0.7759,1.17068,0.88502,0.75955,0.84066,0.56632,1.34324,0.92202,1.26985,0.0073666,0.0073666,0.0073666
